Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0139877464492624,-5.68244441146032E-05,-0.124578208571542,0,0,0,3.52850301341702,0.0829124179160909,6.52576053503441E-06,0.000467807221413584,0.0400047585590855,-5.94413923106993E-06,0.098624358497588,0,0,0,0,0,0,package://Base 26.05.06/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/base_link.STL,,000_ASM-1/00-1;000_ASM-1/00_2-484810_1_3-2;000_ASM-1/00_2-484810_1_3-1;YUELUNQISHI2_0-V05_ASM_ASM_ASM__ASM-1/_0011_1_1_14_15_4-1;KK_ASM-1/0-1;KK_ASM-1/PRT0014_1_9-1;YUELUNQISHI2_0-V05_ASM_ASM_ASM__ASM-1/_202202100001_22_1_7_1_1_1_1__1-1;YUELUNQISHI2_0-V05_ASM_ASM_ASM__ASM-1/KC-TY1251C-01-01-01_1__1_1_16_3-1;000_ASM-1/3D000_ASM-1/ASUS4180F3B0W502_5-1;000_ASM-1/3D000_ASM-1/ASUS4180F3B0W502_15-1;00_ASM-1/TY1251D001-03-0001_ASM_6_ASM_2__ASM-1/TY1251C003-03-09-0001_ASM_5_ASM_ASM-1/0006_ASM_4_ASM_3_ASM_5_ASM-1/LTME_2-1-SOLID1_4_3_5-1;00_ASM-1/TY1251D001-03-0001_ASM_6_ASM_2__ASM-1/TY1251C003-03-09-0001_ASM_5_ASM_ASM-1/0006_ASM_4_ASM_3_ASM_5_ASM-1/LTME_3-1-SOLID1_4_3_5-1;00_ASM-1/TY1251D001-03-0001_ASM_6_ASM_2__ASM-1/TY1251C003-03-09-0001_ASM_5_ASM_ASM-1/0006_ASM_4_ASM_3_ASM_5_ASM-1/LTME_1-1-SOLID1_4_3_5-1;000_ASM-1/00-0-1;ASM0001_ASM-2/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/10001_1_11-1;ASM0001_ASM-2/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/20001_1_11-1;ASM0001_ASM-2/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/200_1_11-1;ASM0001_ASM-1/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/20001_1_11-1;ASM0001_ASM-1/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/10001_1_11-1;ASM0001_ASM-1/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/200_1_11-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_drive_wheel_link,2.91165459323788E-11,-6.43526715232018E-07,0.0369779577265139,0,0,0,1.14125095338992,0.00208401824386845,-1.79853323308109E-13,-1.90807139016711E-12,0.00208405095959488,5.27813516021113E-07,0.00352927857061764,0,0,0,0,0,0,package://Base 26.05.06/meshes/right_drive_wheel_link.STL,0.188235294117647,0.866666666666667,0.917647058823529,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/right_drive_wheel_link.STL,,ASM0001_ASM-2/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/6-5000_ASM_1_ASM_12_ASM-1/AMPS-605__1_1_3_2_6_1_11-1,Coordinate System2,Axis1,right_drive_wheel_joint,continuous,-0.00217824370780602,-0.218924944717817,-0.224330452201286,-1.5707963267949,0,0,base_link,0,0.000125537276711018,0.999999992120196,,,,,,,,,,,,
left_drive_wheel_link,-3.18491113710862E-11,-6.43526715214671E-07,-0.0369779577265139,0,0,0,1.14125095338992,0.00208401824386845,1.96732400865809E-13,-2.08714142198925E-12,0.00208405095959488,-5.27813516020045E-07,0.00352927857061764,0,0,0,0,0,0,package://Base 26.05.06/meshes/left_drive_wheel_link.STL,0.188235294117647,0.866666666666667,0.917647058823529,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/left_drive_wheel_link.STL,,ASM0001_ASM-1/000-3-00001_ASM_14_ASM-1/000-0001_ASM_1_ASM_14_ASM-1/6-5000_ASM_1_ASM_12_ASM-1/AMPS-605__1_1_3_2_6_1_11-1,Coordinate System3,Axis2,left_drive_wheel_joint,continuous,-0.00217793050105813,0.218879130112312,-0.224330452201204,-1.5707963267949,0,0,base_link,0,0.000125537276710988,-0.999999992120196,,,,,,,,,,,,
fr_caster_link,-0.0210296737391897,2.66276711600594E-05,-0.0404565446191801,0,0,0,0.174999250427368,8.59598402931729E-05,1.30108354990252E-07,-7.86718942953962E-06,9.65979989897865E-05,2.17811240261892E-07,7.64688653952788E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/fr_caster_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/fr_caster_link.STL,,Part99-3,Coordinate System4,Axis3,fr_caster_joint,continuous,0.149800623917563,-0.0925229073028034,-0.2186,0,0,0,base_link,0,0,1,,,,,,,,,,,,
fr_wheel_link,-3.97836671182927E-05,-9.02813330067032E-06,-0.00149999999415462,0,0,0,0.109320570218184,3.6860500337048E-05,-9.46425018050332E-09,1.95534990593222E-11,3.69224586520118E-05,3.31849367825639E-12,4.97629238797921E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/fr_wheel_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/fr_wheel_link.STL,,caster_wheel-1,Coordinate System5,Axis4,fr_wheel_joint,continuous,-0.0314999999999982,0,-0.058,-1.5707963267949,0,0,fr_caster_link,0,0,1,,,,,,,,,,,,
fl_caster_link,-0.0210296737391898,2.66276711600177E-05,-0.0404565446191801,0,0,0,0.174999250427368,8.5959840293173E-05,1.30108354990273E-07,-7.86718942953969E-06,9.65979989897866E-05,2.17811240261953E-07,7.64688653952788E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/fl_caster_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/fl_caster_link.STL,,Part99-2,Coordinate System6,Axis5,fl_caster_joint,continuous,0.149800623917537,0.0924770926972476,-0.2186,0,0,0,base_link,0,0,1,,,,,,,,,,,,
fl_wheel_link,-3.97836670919943E-05,-9.02813330071195E-06,0.00150000000579448,0,0,0,0.109320570218184,3.6860500337048E-05,-9.46425018050186E-09,1.95534990570709E-11,3.69224586520118E-05,3.31849368290766E-12,4.97629238797921E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/fl_wheel_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/fl_wheel_link.STL,,caster_wheel-4,Coordinate System7,Axis6,fl_wheel_joint,continuous,-0.0314999999999983,0,-0.058,-1.5707963267949,0,0,fl_caster_link,0,0,1,,,,,,,,,,,,
br_caster_link,-0.0210296737391897,2.66276711600455E-05,-0.0404565446191801,0,0,0,0.174999250427368,8.59598402931729E-05,1.30108354990229E-07,-7.86718942953967E-06,9.65979989897867E-05,2.17811240261956E-07,7.64688653952788E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/br_caster_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/br_caster_link.STL,,Part99-1,Coordinate System8,Axis7,br_caster_joint,continuous,-0.152199376082463,-0.0940229073027524,-0.2186,0,0,0,base_link,0,0,1,,,,,,,,,,,,
br_wheel_link,-3.97836671182927E-05,-9.02813330064256E-06,5.79430947666992E-12,0,0,0,0.109320570218184,3.6860500337048E-05,-9.46425018050304E-09,1.95534990548099E-11,3.69224586520118E-05,3.31849367915526E-12,4.97629238797921E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/br_wheel_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/br_wheel_link.STL,,caster_wheel-2,Coordinate System9,Axis8,br_wheel_joint,continuous,-0.0314999999999983,0,-0.058,-1.5707963267949,0,0,br_caster_link,0,0,1,,,,,,,,,,,,
bl_caster_link,-0.0210296737391897,2.66276711600594E-05,-0.0404565446191801,0,0,0,0.174999250427368,8.59598402931728E-05,1.30108354990242E-07,-7.86718942953964E-06,9.65979989897865E-05,2.17811240261937E-07,7.64688653952788E-05,0,0,0,0,0,0,package://Base 26.05.06/meshes/bl_caster_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Base 26.05.06/meshes/bl_caster_link.STL,,Part99-4,Coordinate System10,Axis9,bl_caster_joint,continuous,-0.152199376082463,0.0939770926972477,-0.2186,0,0,0,base_link,0,0,1,,,,,,,,,,,,
